                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5111,                  3.845,                 1.6165,                0.00382,                0.92308,                0.01058,                0.00383,                 1.6466,                 3.7992,                 1.8211,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.4921,                 3.7963,                 1.6164,                0.00346,                0.96154,                0.01877,                0.00807,                 1.3653,                   3.69,                 1.6119,               0.093693,             0.00069307,             0.00069307
                      2,                 1.3742,                 3.7211,                 1.5008,                0.00355,                      1,                0.06733,                0.02981,                 1.1348,                 3.4041,                 1.2906,               0.090078,              0.0010782,              0.0010782
                      3,                 1.2346,                 3.4458,                 1.3138,                0.00404,                      1,                 0.2546,                0.19832,                  1.094,                 3.2015,                  1.152,               0.086455,              0.0014555,              0.0014555
                      4,                 1.1176,                 3.2137,                 1.2058,                0.00425,                      1,                0.27334,                0.18315,                  1.089,                 3.1707,                 1.1439,               0.082825,              0.0018248,              0.0018248
                      5,                 1.0356,                 2.9733,                  1.158,                0.00423,                      1,                0.44274,                0.26474,                 1.0409,                 3.1486,                 1.1207,               0.079186,              0.0021861,              0.0021861
                      6,                 1.1291,                 2.7447,                 1.2285,                 0.0038,                      1,                0.50046,                0.30273,                 1.0264,                 3.0829,                 1.0937,                0.07554,              0.0025396,              0.0025396
                      7,                 1.1145,                 2.2302,                 1.2019,                0.00376,                      1,                0.57676,                0.40224,                 1.0201,                 2.8279,                  1.041,               0.071885,              0.0028852,              0.0028852
                      8,                 1.1167,                 2.2197,                 1.2314,                0.31751,                      1,                0.64543,                0.47918,                 1.0488,                 2.6273,                 1.0292,               0.068223,              0.0032228,              0.0032228
                      9,                  1.125,                  1.978,                 1.2448,                 0.0074,                      1,                0.67266,                0.44513,                 1.0799,                 2.6487,                 1.0637,               0.064553,              0.0035525,              0.0035525
                     10,                 1.0188,                 1.9217,                 1.1717,                0.83659,                 0.4758,                0.64109,                0.46611,                 1.0275,                  2.463,                 1.0236,               0.060874,              0.0038743,              0.0038743
                     11,                 1.0584,                  1.894,                  1.209,                      1,                0.26973,                0.63976,                0.38626,                 1.1841,                 2.5944,                 1.1516,               0.057188,              0.0041882,              0.0041882
                     12,                 1.0575,                 1.7396,                 1.1449,                0.43004,                0.71429,                0.64709,                0.42959,                 1.0459,                 2.5352,                 1.0467,               0.053494,              0.0044941,              0.0044941
                     13,                 1.0233,                 1.6423,                 1.1163,                0.93232,                0.46154,                0.65849,                0.43526,                0.97752,                 2.4861,                 1.0159,               0.049792,              0.0047922,              0.0047922
                     14,                 1.0117,                 1.6889,                 1.1547,                0.87232,                0.46154,                0.69236,                0.41479,                 1.2157,                  2.426,                 1.2016,               0.046082,              0.0050823,              0.0050823
